Results for McCormick
     1 County_Treasurer                    W/I_REPUBLICAN                     
     1 County_Treasurer                    W/I_SAMBO_SMITH                    
     1 County_Treasurer                    W/I_SHIRLEY_STEIRS                 
     1 County_Treasurer                    W/I_TIFFABY_PAYBE                  

  2251 Governor_and_Lieutenant_Governor    Henry_McMaster                     
  1968 Governor_and_Lieutenant_Governor    James_Smith                        
     1 Governor_and_Lieutenant_Governor    W/I_MICKEY_MOUSE                   

  2376 HOU0012_State_House_of_Representatives Anne_Parks                         
     1 HOU0012_State_House_of_Representatives W/I_-                              
     1 HOU0012_State_House_of_Representatives W/I_ALAN_GOLDEN                    
     1 HOU0012_State_House_of_Representatives W/I_ANYBODY_ELSE                   
     1 HOU0012_State_House_of_Representatives W/I_ANYBODY_OTHER_THAN_HER         
     2 HOU0012_State_House_of_Representatives W/I_ANYONE                         
     3 HOU0012_State_House_of_Representatives W/I_ANYONE_ELSE                    
     1 HOU0012_State_House_of_Representatives W/I_ANY_ONE_ELSE                   
     2 HOU0012_State_House_of_Representatives W/I_BERT_BOATRIGHT                 
     1 HOU0012_State_House_of_Representatives W/I_BILLY_NORRIS                   
     1 HOU0012_State_House_of_Representatives W/I_BO_WILLIS                      
     1 HOU0012_State_House_of_Representatives W/I_BUGGS_BUNNY                    
     1 HOU0012_State_House_of_Representatives W/I_CHARLES_STEPHENS               
     1 HOU0012_State_House_of_Representatives W/I_CHARLIE_WILLIAMS               
     1 HOU0012_State_House_of_Representatives W/I_CHRISTOPHER_WADE_LONG          
     1 HOU0012_State_House_of_Representatives W/I_CHRIS_DOOLITTLE                
     1 HOU0012_State_House_of_Representatives W/I_CHRIS_MOORE                    
     1 HOU0012_State_House_of_Representatives W/I_DELA_HOWE                      
     2 HOU0012_State_House_of_Representatives W/I_DONALD_TRUMP                   
     1 HOU0012_State_House_of_Representatives W/I_DONNA                          
     1 HOU0012_State_House_of_Representatives W/I_GENE_HUTTO                     
     1 HOU0012_State_House_of_Representatives W/I_GEORGIE_JONES                  
     1 HOU0012_State_House_of_Representatives W/I_GERALD_E._LOWTHER              
     1 HOU0012_State_House_of_Representatives W/I_GLENN_WRIGHT                   
     1 HOU0012_State_House_of_Representatives W/I_GREG_PARROTT                   
     1 HOU0012_State_House_of_Representatives W/I_JAMES_D_FREEMAN                
     1 HOU0012_State_House_of_Representatives W/I_JANIE_BROADWATER               
     1 HOU0012_State_House_of_Representatives W/I_JEFF_DANIELS                   
     1 HOU0012_State_House_of_Representatives W/I_JENNINGS_MCABEE                
     1 HOU0012_State_House_of_Representatives W/I_JIMMY_SMITH                    
     1 HOU0012_State_House_of_Representatives W/I_JIM_CLARK                      
     1 HOU0012_State_House_of_Representatives W/I_JIM_FOSTER                     
     2 HOU0012_State_House_of_Representatives W/I_JOHN_SMITH                     
     1 HOU0012_State_House_of_Representatives W/I_JO_ANN_BURROUGHS               
     1 HOU0012_State_House_of_Representatives W/I_JUNNE_R_JONES                  
     1 HOU0012_State_House_of_Representatives W/I_KENNETH_VOLLMER                
     1 HOU0012_State_House_of_Representatives W/I_KENT_KELLY                     
     1 HOU0012_State_House_of_Representatives W/I_LUKE_EDWARD_SEIGLER            
     1 HOU0012_State_House_of_Representatives W/I_MAGA                           
     3 HOU0012_State_House_of_Representatives W/I_MAKE_AMERICA_GREAT_AGAIN       
     1 HOU0012_State_House_of_Representatives W/I_MARIAN_STURKEY                 
     1 HOU0012_State_House_of_Representatives W/I_MARK_MILLER                    
     1 HOU0012_State_House_of_Representatives W/I_MARY_SMITH                     
     5 HOU0012_State_House_of_Representatives W/I_MICKEY_MOUSE                   
     2 HOU0012_State_House_of_Representatives W/I_MICKY_MOUSE                    
     2 HOU0012_State_House_of_Representatives W/I_MURRAY_PENNER                  
     1 HOU0012_State_House_of_Representatives W/I_NICOLE_LOVE                    
     1 HOU0012_State_House_of_Representatives W/I_NOBODY                         
     1 HOU0012_State_House_of_Representatives W/I_NONE                           
     1 HOU0012_State_House_of_Representatives W/I_PEDRO                          
     1 HOU0012_State_House_of_Representatives W/I_PETE_PALEK                     
     1 HOU0012_State_House_of_Representatives W/I_REBA_DORN                      
     2 HOU0012_State_House_of_Representatives W/I_REPUBLICAN                     
     1 HOU0012_State_House_of_Representatives W/I_RICHARD_OBERMEYER              
     1 HOU0012_State_House_of_Representatives W/I_RIC_FLAIR                      
     1 HOU0012_State_House_of_Representatives W/I_ROGER_LUCAS                    
     1 HOU0012_State_House_of_Representatives W/I_RONNIE_KIDD                    
     2 HOU0012_State_House_of_Representatives W/I_SCOTT_SMART                    
     1 HOU0012_State_House_of_Representatives W/I_SHANE_MASSEY                   
     1 HOU0012_State_House_of_Representatives W/I_STEVE_MARTIN                   
     1 HOU0012_State_House_of_Representatives W/I_TERRY_BONDS                    
     1 HOU0012_State_House_of_Representatives W/I_TIFFANY_PAYNE                  
     1 HOU0012_State_House_of_Representatives W/I_TOYE_LANGLEY                   
     1 HOU0012_State_House_of_Representatives W/I_TRACY_WALKER                   
     1 HOU0012_State_House_of_Representatives W/I_WALLACE_CHAPMAN                
